id,code,name,user_type_id/id,chart_template_id:id,reconcile
510107001_account_aumet,510107001,Repair & Maintenance - Vehicles,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510107002_account_aumet,510107002,Repair & Maintenance - Fixtures & Office Furiture,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510107003_account_aumet,510107003,Repair & Maintenance - Equipments,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510107004_account_aumet,510107004,Repair & Maintenance - Computres,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510108001_account_aumet,510108001,Stationary & Printing,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510108002_account_aumet,510108002,Safety Expenses,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510108003_account_aumet,510108003,Fuel Expenses,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510108004_account_aumet,510108004,Cleaning & Entertainments Expenses,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510108005_account_aumet,510108005,Transportation Expenses,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510108006_account_aumet,510108006,Loading & unloading expenses,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510108007_account_aumet,510108007,Customs clearance,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510108008_account_aumet,510108008,Legal Expenses,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510108009_account_aumet,510108009,Audit fees,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510108010_account_aumet,510108010,Zakat & Income Tax,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510108011_account_aumet,510108011,Bank charges,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510108012_account_aumet,510108012,Professional fees,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510108013_account_aumet,510108013,Stationary & Printing,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510108014_account_aumet,510108014,Safety Expenses,account.data_account_type_expenses,account_arabic_coa_general,FALSE
510108015_account_aumet,510108015,Transportation Expenses,account.data_account_type_expenses,account_arabic_coa_general,FALSE
410101001_account_aumet,410101001,Medical Supply ,account.data_account_type_revenue,account_arabic_coa_general,FALSE
410102001_account_aumet,410102001,Medicines Revenue,account.data_account_type_revenue,account_arabic_coa_general,TRUE
410103001_account_aumet,410103001,Baby Care Revenue,account.data_account_type_revenue,account_arabic_coa_general,TRUE
410104001_account_aumet,410104001,Beauty & Personal Care Revenue,account.data_account_type_revenue,account_arabic_coa_general,TRUE
410105001_account_aumet,410105001,Food & Supplements  Revenue,account.data_account_type_revenue,account_arabic_coa_general,TRUE
410106001_account_aumet,410106001,Medical Devices Revenue,account.data_account_type_revenue,account_arabic_coa_general,TRUE
410107001_account_aumet,410107001,Others  Revenue,account.data_account_type_revenue,account_arabic_coa_general,TRUE
410108001_account_aumet,410108001,License,account.data_account_type_revenue,account_arabic_coa_general,FALSE
410109001_account_aumet,410109001,Discount,account.data_account_type_revenue,account_arabic_coa_general,FALSE
410201001_account_aumet,410201001,Gains Or Loss from sales of fixed assets,account.data_account_type_revenue,account_arabic_coa_general,FALSE
410105001_account_aumet,410105001,Discount,account.data_account_type_revenue,account_arabic_coa_general,FALSE
520101001_account_aumet,520101001,Medical Supply COS,account.data_account_type_direct_costs,account_arabic_coa_general,FALSE
520102001_account_aumet,520102001,Medicines COS,account.data_account_type_direct_costs,account_arabic_coa_general,TRUE
520103001_account_aumet,520103001,Baby Care COS,account.data_account_type_direct_costs,account_arabic_coa_general,TRUE
520104001_account_aumet,520104001,Beauty & Personal COS,account.data_account_type_direct_costs,account_arabic_coa_general,TRUE
520105001_account_aumet,520105001,Food & Supplements COS,account.data_account_type_direct_costs,account_arabic_coa_general,TRUE
520106001_account_aumet,520106001,Medical Devices COS,account.data_account_type_direct_costs,account_arabic_coa_general,TRUE
520107001_account_aumet,520107001,Others COS,account.data_account_type_direct_costs,account_arabic_coa_general,TRUE
